Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Ali Baba Bunny,7,English,"Bugs and Daffy get lost on the way to Pismo Beach, and find a cave full of treasure in the Arabian Desert, guarded by Hassan.",1957,"Animation, Comedy","cartoon, desert",Mel Blanc,Chuck Jones,,,,"Warner Bros. Pictures, Warner Bros. Cartoons",Unknown
Something of Value,113,English,"As Kenya's Mau Mau uprising tears the country apart, former childhood friends Kimani (Sidney Poitier), a native, and Peter (Rock Hudson), a British colonist, find themselves on opposite sides of the struggle in this provocative drama. Though each is devoted to his cause, both wish for a more moderate path -- but their hopes for a peaceful resolution are thwarted by rage, colonial arrogance and escalating violence on both sides.",1957,"Drama, War","kenya, tribal customs","William Marshall, Juano Hernández, Sidney Poitier, Rock Hudson, Dana Wynter",Richard Brooks,,"Apple TV, Amazon Video, Google Play Movies, YouTube ","Apple TV, Amazon Video, Google Play Movies, YouTube ",Metro-Goldwyn-Mayer,Unknown
A King in New York,104,English,"A recently-deposed ""Estrovian"" monarch seeks shelter in New York City, where he becomes an accidental television celebrity. Later, he's wrongly accused of being a Communist and gets caught up in subsequent HUAC hearings.",1957,Comedy,"communist, revolution, satire, salesman, black and white, king","Charlie Chaplin, Jerry Desmonde, Maxine Audley, Oliver Johnston, Dawn Addams",Charlie Chaplin,"Max, Max Amazon Channel, Criterion Channel ",,,Charles Chaplin Productions,Unknown
Tokyo Twilight,141,Japanese,"Two sisters find out the existence of their long-lost mother, but the younger cannot accept the fact that she was abandoned as a child.",1957,Drama,"daughter, sibling relationship, mahjong, post war japan, book translator","Ineko Arima, Setsuko Hara, Isuzu Yamada, Teiji Takahashi, Chishū Ryū",Yasujirō Ozu,"Max, Max Amazon Channel, Criterion Channel ",,,Shochiku,Unknown
The Brothers Rico,92,English,"Eddie Rico, the erstwhile bookkeeper for a big Mafia boss, is now making a living as an honest merchant in Florida with his family. Things go sour when the police start a search for his syndicate-linked brothers who are on the lam after a big hit, forcing Eddie to get involved with the Mafia again.",1957,Crime,"film noir, criminal syndicate, crime family","Kathryn Grant, Richard Conte, Larry Gates, Dianne Foster, James Darren",Phil Karlson,FlixFling ,FlixFling ,FlixFling ,William Goetz Productions,Unknown
The Pride and the Passion,132,English,"During the Napoleonic Wars, when the French have occupied Spain, some Spanish guerrilla soldiers are going to move a big cannon across Spain in order to help the British defeat the French. A British officer is there to accompany the Spanish and along the way, he falls in love with the leader's girl.",1957,"War, History, Romance","self sacrifice, revolution, napoleon bonaparte, napoleonic wars, peninsular war","Frank Sinatra, Cary Grant, John Wengraf, Theodore Bikel, Sophia Loren",Stanley Kramer,,Vudu ,Vudu ,Stanley Kramer Productions,Unknown
The One That Got Away,111,English,"Based on the true story of Oberleutnant Franz von Werra, the only German prisoner of war captured in Britain to escape back to Germany during the Second World War.",1957,"Drama, War",None,"Colin Gordon, Hardy Krüger, Terence Alexander, Michael Goodliffe, Jack Gwillim",Roy Ward Baker,"Amazon Prime Video, fuboTV, MGM Plus Roku Premium Channel ",,,"Julian Wintle Productions, The Rank Organisation",Unknown
The Tarnished Angels,91,English,"In the 1930s, once-great World War I pilot Roger Shumann performs as a daredevil barnstorming pilot at aerial stunt shows while his wife, LaVerne, works as a parachutist. When newspaper reporter Burke Devlin arrives to do a story on the Shumanns’ act, he quickly falls in love with the beautiful--and neglected--LaVerne.",1957,Drama,"airplane, based on novel or book, love triangle, new orleans, louisiana, mardi gras, pilot, airplane wreck, great depression, reporter, black and white, daredevil, amusement park, newspaper reporter, air race, stunt flying, pilot hero, death of husband, airfield, propeller airplane, exploding airplane, neglected wife, parachutist, aerobatics, barnstorming, air show, 1930s, parachute jumping, airplane pilot, adrenaline junkie, thrill seeker, plane crash, friends love same woman, airport ending, air crash, aircraft mechanic, car racing, ace pilot, aircraft crash","Dorothy Malone, Robert Middleton, Jack Carson, Robert Stack, Rock Hudson",Douglas Sirk,,,,Universal International Pictures,Unknown
La Parisienne,86,French,The spoiled daughter of the French Ambassador tricks one of his aides into marrying her.,1957,Comedy,"southern france, romantic comedy","Henri Vidal, Charles Boyer, Brigitte Bardot, Noël Roquevert, Madeleine Lebeau",Michel Boisrond,Criterion Channel ,,,"Les Films Ariane, Filmsonor, Cinétel, Rizzoli Film",Unknown
Baby Face Nelson,85,English,Famed Depression-era gangster “Baby Face Nelson” (Mickey Rooney) robs and kills while accompanied by his beautiful moll (Carolyn Jones).,1957,"Crime, Drama","gangster, outlaw, film noir","Carolyn Jones, Mickey Rooney, Cedric Hardwicke, Leo Gordon, Anthony Caruso",Don Siegel,,,,"Fryman Enterprises, United Artists",Unknown
